id,customer_id,customer_name,amount,payment_method,error_code,error_category,retry_count,created_at,customer_tenure_days,language_pref
txn_00001,cust_2535,Aarav,9464.21,card,do_not_honor,soft_decline,0,2026-08-02T02:21:00,310,en
txn_00002,cust_5552,Priya,277.95,card,insufficient_funds,soft_decline,1,2026-08-10T23:48:00,1920,hi-en
txn_00003,cust_5803,Ishaan,21949.89,upi,gateway_timeout,transient,0,2026-08-09T23:43:00,1,hi-en
txn_00004,cust_3664,Rohan,618.62,card,expired_card,hard_decline,1,2026-08-11T16:37:00,150,en
txn_00005,cust_6313,Reyansh,941.99,upi,insufficient_funds,soft_decline,1,2026-08-14T01:10:00,114,hi-en
txn_00006,cust_3340,Neha,127.89,card,insufficient_funds,soft_decline,3,2026-08-10T09:04:00,801,en
txn_00007,cust_3504,Diya,3337.76,upi,do_not_honor,soft_decline,0,2026-08-02T10:43:00,4,hi-en
txn_00008,cust_6573,Myra,24922.43,card,network_drop,transient,0,2026-08-13T14:15:00,1759,en
txn_00009,cust_4258,Rahul,10267.78,card,network_drop,transient,2,2026-08-12T22:15:00,85,hi-en
txn_00010,cust_2290,Sneha,3120.88,card,do_not_honor,soft_decline,1,2026-08-06T20:32:00,216,en
txn_00011,cust_9835,Sara,4062.57,upi,insufficient_funds,soft_decline,3,2026-08-11T00:05:00,1446,hi-en
txn_00012,cust_4770,Aditya,12468.41,upi,invalid_cvv,user_error,1,2026-08-14T18:17:00,146,en
txn_00013,cust_8744,Ananya,1269.53,card,invalid_cvv,user_error,0,2026-08-13T15:29:00,173,en
txn_00014,cust_7596,Vivaan,3635.27,upi,gateway_timeout,transient,1,2026-08-03T14:44:00,1745,hi-en
txn_00015,cust_1828,Diya,271.43,upi,insufficient_funds,soft_decline,0,2026-08-13T21:33:00,1273,en
txn_00016,cust_5345,Anika,4013.51,netbanking,insufficient_funds,soft_decline,1,2026-08-01T10:10:00,6,hi-en
txn_00017,cust_9883,Sneha,20667.23,card,gateway_timeout,transient,2,2026-08-02T16:56:00,128,en
txn_00018,cust_2964,Anika,528.11,netbanking,insufficient_funds,soft_decline,3,2026-08-06T17:27:00,126,en
txn_00019,cust_5351,Reyansh,18147.46,card,do_not_honor,soft_decline,1,2026-08-08T12:35:00,784,hi-en
txn_00020,cust_3170,Myra,4006.71,netbanking,gateway_timeout,transient,1,2026-08-12T21:16:00,82,hi-en
txn_00021,cust_2697,Vihaan,21674.9,netbanking,expired_card,hard_decline,0,2026-08-13T23:53:00,25,en
txn_00022,cust_9004,Pooja,10446.96,card,insufficient_funds,soft_decline,0,2026-08-07T09:10:00,135,hi-en
txn_00023,cust_1158,Arjun,4316.56,card,insufficient_funds,soft_decline,2,2026-08-13T22:17:00,696,hi-en
txn_00024,cust_4441,Rohan,12384.32,upi,velocity_limit,soft_decline,0,2026-08-02T06:47:00,52,hi-en
txn_00025,cust_1406,Arjun,24476.74,card,gateway_timeout,transient,0,2026-08-05T09:41:00,698,hi-en
txn_00026,cust_4269,Reyansh,469.54,upi,expired_card,hard_decline,0,2026-08-12T02:03:00,1149,en
txn_00027,cust_9785,Anika,814.81,card,gateway_timeout,transient,0,2026-08-12T23:12:00,66,en
txn_00028,cust_9379,Rahul,334.09,card,expired_card,hard_decline,0,2026-08-11T07:19:00,1858,hi-en
txn_00029,cust_6143,Rahul,15398.41,upi,insufficient_funds,soft_decline,1,2026-08-08T21:19:00,131,en
txn_00030,cust_5930,Kabir,11523.66,card,card_stolen_lost,hard_decline,0,2026-08-10T00:03:00,1227,hi-en
txn_00031,cust_5649,Ishaan,4142.25,card,gateway_timeout,transient,1,2026-08-05T05:40:00,140,hi-en
txn_00032,cust_2193,Rahul,835.58,card,gateway_timeout,transient,2,2026-08-12T04:29:00,43,hi-en
txn_00033,cust_8611,Pooja,745.51,card,do_not_honor,soft_decline,1,2026-08-05T09:03:00,85,en
txn_00034,cust_9976,Arjun,18351.55,card,expired_card,hard_decline,0,2026-08-12T20:40:00,1620,en
txn_00035,cust_5681,Ishaan,4006.36,card,expired_card,hard_decline,1,2026-08-11T09:13:00,279,en
txn_00036,cust_2020,Arjun,171.52,card,card_stolen_lost,hard_decline,1,2026-08-11T23:27:00,243,en
txn_00037,cust_9947,Aditya,22134.64,upi,card_stolen_lost,hard_decline,0,2026-08-10T21:50:00,977,hi-en
txn_00038,cust_7455,Aarav,12777.14,upi,network_drop,transient,1,2026-08-13T12:42:00,1323,hi-en
txn_00039,cust_7906,Myra,4466.54,card,insufficient_funds,soft_decline,0,2026-08-10T00:03:00,263,en
txn_00040,cust_1333,Sara,11999.21,upi,insufficient_funds,soft_decline,0,2026-08-07T00:02:00,448,en
txn_00041,cust_6096,Kabir,4790.08,card,network_drop,transient,2,2026-08-03T23:33:00,1609,en
txn_00042,cust_2983,Rahul,12933.09,upi,gateway_timeout,transient,0,2026-08-08T05:42:00,18,en
txn_00043,cust_3506,Neha,6379.13,card,insufficient_funds,soft_decline,0,2026-08-09T14:48:00,27,hi-en
txn_00044,cust_5569,Ishaan,4231.99,upi,restricted_card,hard_decline,0,2026-08-06T23:04:00,334,en
txn_00045,cust_5526,Rahul,2515.58,upi,network_drop,transient,0,2026-08-07T17:43:00,212,en
txn_00046,cust_4630,Vihaan,316.22,card,insufficient_funds,soft_decline,1,2026-08-03T11:49:00,1283,en
txn_00047,cust_4155,Diya,11875.15,card,velocity_limit,soft_decline,1,2026-08-06T14:54:00,263,hi-en
txn_00048,cust_5853,Sara,1765.97,card,restricted_card,hard_decline,1,2026-08-03T15:54:00,299,en
txn_00049,cust_1200,Diya,24485.9,upi,insufficient_funds,soft_decline,0,2026-08-12T13:05:00,1672,en
txn_00050,cust_3444,Ananya,1205.46,upi,network_drop,transient,0,2026-08-02T14:16:00,2,hi-en
txn_00051,cust_8025,Vihaan,13323.48,card,insufficient_funds,soft_decline,2,2026-08-11T10:47:00,298,hi-en
txn_00052,cust_1043,Kabir,765.08,card,do_not_honor,soft_decline,0,2026-08-03T01:59:00,2,hi-en
txn_00053,cust_7965,Sara,2152.13,card,network_drop,transient,0,2026-08-14T19:06:00,1979,en
txn_00054,cust_7594,Vihaan,1568.8,netbanking,insufficient_funds,soft_decline,1,2026-08-12T00:58:00,322,en
txn_00055,cust_1339,Sneha,1159.4,netbanking,network_drop,transient,1,2026-08-14T11:08:00,834,hi-en
txn_00056,cust_8700,Ishaan,14410.02,card,insufficient_funds,soft_decline,1,2026-08-12T13:32:00,123,en
txn_00057,cust_6296,Myra,2318.88,card,velocity_limit,soft_decline,1,2026-08-08T12:46:00,312,hi-en
txn_00058,cust_1845,Neha,1004.6,card,expired_card,hard_decline,0,2026-08-12T17:14:00,296,en
txn_00059,cust_2527,Arjun,7428.52,card,account_closed,hard_decline,0,2026-08-13T22:36:00,112,hi-en
txn_00060,cust_8483,Reyansh,8079.42,upi,insufficient_funds,soft_decline,0,2026-08-12T02:53:00,1216,en
txn_00061,cust_1042,Myra,4516.43,card,account_closed,hard_decline,1,2026-08-12T22:17:00,1062,en
txn_00062,cust_4090,Priya,7971.91,netbanking,do_not_honor,soft_decline,1,2026-08-11T17:40:00,313,en
txn_00063,cust_1606,Karan,2642.69,card,gateway_timeout,transient,2,2026-08-04T20:04:00,1156,hi-en
txn_00064,cust_5342,Karan,4379.31,card,gateway_timeout,transient,0,2026-08-03T01:51:00,1706,hi-en
txn_00065,cust_5708,Reyansh,4408.51,netbanking,velocity_limit,soft_decline,3,2026-08-02T22:22:00,20,hi-en
txn_00066,cust_6873,Vihaan,3534.36,card,network_drop,transient,0,2026-08-02T15:38:00,45,en
txn_00067,cust_4804,Ananya,608.34,card,do_not_honor,soft_decline,1,2026-08-14T15:28:00,348,en
txn_00068,cust_5097,Arjun,23024.19,card,insufficient_funds,soft_decline,1,2026-08-08T04:22:00,1073,en
txn_00069,cust_1132,Myra,1426.51,upi,risk_block,compliance_block,0,2026-08-10T09:09:00,410,hi-en
txn_00070,cust_5106,Rahul,3425.02,upi,invalid_cvv,user_error,2,2026-08-05T16:50:00,341,hi-en
txn_00071,cust_5835,Ishaan,23068.07,card,velocity_limit,soft_decline,0,2026-08-04T08:46:00,256,en
txn_00072,cust_6549,Vihaan,12317.15,upi,insufficient_funds,soft_decline,3,2026-08-12T08:09:00,892,en
txn_00073,cust_5332,Aarav,18526.47,card,insufficient_funds,soft_decline,3,2026-08-10T08:29:00,30,en
txn_00074,cust_4626,Priya,3337.66,upi,velocity_limit,soft_decline,0,2026-08-14T03:36:00,272,hi-en
txn_00075,cust_7367,Ananya,729.97,card,network_drop,transient,3,2026-08-13T14:34:00,9,hi-en
txn_00076,cust_7070,Vivaan,950.38,card,invalid_cvv,user_error,2,2026-08-07T17:46:00,81,en
txn_00077,cust_4475,Ishaan,12346.7,upi,insufficient_funds,soft_decline,0,2026-08-11T17:20:00,754,en
txn_00078,cust_3417,Priya,7518.48,upi,insufficient_funds,soft_decline,0,2026-08-06T16:14:00,314,en
txn_00079,cust_6304,Sneha,984.63,card,insufficient_funds,soft_decline,0,2026-08-06T18:56:00,27,en
txn_00080,cust_1710,Rahul,1454.48,upi,insufficient_funds,soft_decline,2,2026-08-06T09:59:00,334,hi-en
txn_00081,cust_2323,Ishaan,3572.72,card,velocity_limit,soft_decline,2,2026-08-11T11:14:00,1370,en
txn_00082,cust_2874,Diya,3340.87,upi,insufficient_funds,soft_decline,3,2026-08-11T03:56:00,181,hi-en
txn_00083,cust_7992,Priya,747.76,card,invalid_cvv,user_error,1,2026-08-03T12:55:00,263,en
txn_00084,cust_6400,Aditya,717.14,upi,restricted_card,hard_decline,0,2026-08-14T17:17:00,221,en
txn_00085,cust_3535,Sara,946.02,upi,expired_card,hard_decline,2,2026-08-12T22:06:00,19,en
txn_00086,cust_1430,Aditya,20252.11,upi,insufficient_funds,soft_decline,0,2026-08-15T08:05:00,1937,hi-en
txn_00087,cust_1502,Ananya,2092.81,card,velocity_limit,soft_decline,0,2026-08-02T23:00:00,1525,en
txn_00088,cust_1815,Kabir,1629.48,upi,gateway_timeout,transient,2,2026-08-04T21:58:00,539,en
txn_00089,cust_9633,Karan,10463.34,upi,velocity_limit,soft_decline,0,2026-08-14T20:55:00,946,en
txn_00090,cust_8055,Karan,638.39,card,gateway_timeout,transient,2,2026-08-01T13:13:00,161,en
txn_00091,cust_8033,Priya,549.24,upi,invalid_cvv,user_error,0,2026-08-03T03:31:00,23,hi-en
txn_00092,cust_8138,Reyansh,11495.36,upi,gateway_timeout,transient,1,2026-08-03T18:48:00,216,en
txn_00093,cust_3419,Rohan,378.25,card,gateway_timeout,transient,0,2026-08-09T07:48:00,89,en
txn_00094,cust_6295,Neha,641.16,upi,insufficient_funds,soft_decline,3,2026-08-14T13:28:00,1316,hi-en
txn_00095,cust_1932,Vivaan,2768.39,card,insufficient_funds,soft_decline,1,2026-08-11T15:48:00,290,en
txn_00096,cust_6267,Sara,1361.1,upi,velocity_limit,soft_decline,1,2026-08-14T09:12:00,1287,en
txn_00097,cust_9586,Neha,21747.54,card,restricted_card,hard_decline,0,2026-08-11T08:04:00,119,en
txn_00098,cust_7333,Aditya,11767.34,card,gateway_timeout,transient,0,2026-08-03T12:36:00,20,hi-en
txn_00099,cust_2388,Ananya,11667.24,card,velocity_limit,soft_decline,1,2026-08-10T07:03:00,1001,en
txn_00100,cust_6928,Pooja,21579.18,card,expired_card,hard_decline,2,2026-08-11T00:14:00,300,en
txn_00101,cust_6517,Vivaan,406.56,upi,restricted_card,hard_decline,0,2026-08-13T08:33:00,1405,hi-en
